x,y,time,TAG,res_time
651395.715273721,5902416.62638392,2020-08-21T17:49:00Z,31001001060,7.14066664377848
651367.654945303,5902439.09708781,2020-08-21T17:49:30Z,31001001060,6.03889464537303
651348.325520057,5902450.68354814,2020-08-21T17:50:00Z,31001001060,5.84851897954941
651309.673938186,5902437.52126296,2020-08-21T17:50:30Z,31001001060,5.02830071051915
651270.656573671,5902428.66413588,2020-08-21T17:51:00Z,31001001060,5.16553479830424
651239.249448141,5902412.77556155,2020-08-21T17:51:30Z,31001001060,4.61569086313248
651205.937410203,5902395.56383821,2020-08-21T17:52:00Z,31001001060,4.02581969499588
651182.234850426,5902387.39121892,2020-08-21T17:52:30Z,31001001060,3.59049579699834
651182.015106324,5902397.07022409,2020-08-21T17:53:00Z,31001001060,3.77300036350886
651189.435416939,5902432.53069643,2020-08-21T17:53:30Z,31001001060,4.45889943440755
651188.916308198,5902468.1502998,2020-08-21T17:54:00Z,31001001060,4.81723477045695
651189.506478216,5902483.03362443,2020-08-21T17:54:30Z,31001001060,4.88917853037516
651201.752853424,5902516.40494705,2020-08-21T17:55:00Z,31001001060,3.02704911231995
651217.807596222,5902549.02754299,2020-08-21T17:55:30Z,31001001060,3.01993069251378
651232.179742181,5902586.99089937,2020-08-21T17:56:00Z,31001001060,2.80351603825887
651238.954629937,5902623.6233867,2020-08-21T17:56:30Z,31001001060,3.55996087392171
651237.911238999,5902661.11890335,2020-08-21T17:57:00Z,31001001060,5.58041135072708
651220.891268994,5902687.61575416,2020-08-21T17:57:30Z,31001001060,6.09429797728856
651225.628632506,5902720.16838287,2020-08-21T17:58:00Z,31001001060,6.39301578203837
651237.957365171,5902731.67625113,2020-08-21T17:58:30Z,31001001060,6.49403012593587
651248.718267168,5902738.94928811,2020-08-21T17:59:00Z,31001001060,6.58026226361593
651273.749541309,5902756.31998983,2020-08-21T17:59:30Z,31001001060,13.5930402080218
651291.872322361,5902780.25160115,2020-08-21T18:00:00Z,31001001060,12.4854664564133
651315.872264483,5902806.4651054,2020-08-21T18:00:30Z,31001001060,11.0478290001551
651331.55604634,5902834.17637205,2020-08-21T18:01:00Z,31001001060,9.96973609924316
