time_agg,TAG,NBS,SD,x,y,Long,Lat,time,speed_in,angle,VARX,VARY,count,speed_smooth
1598030100,31001001060,5.46666666666667,6.06086884115118,650728.301378013,5901756.76608381,5.25887958586892,53.2436594370641,1598030114.5,1.21638306185185,105.312043180063,0.176238266666667,0.554130222222222,30,1.23893807971353
1598030130,31001001060,5.5,5.96704891867686,650763.932483318,5901767.34413389,5.25941735119479,53.243740206643,1598030144.5,1.23893807971353,140.277102989393,0.165404522222222,0.551517777777778,30,1.27623304560523
1598030160,31001001060,5.2,6.18432521739992,650800.353132056,5901781.94571829,5.25997064412806,53.2438627146629,1598030174.5,1.30795426411792,91.9920771553602,0.170339288888889,0.614025777777778,30,1.28584136015827
1598030190,31001001060,5.5,5.25393414476173,650835.065954295,5901799.15140353,5.26049593370804,53.244005352083,1598030204.5,1.29143143345176,108.423472017842,0.124664855555556,0.438042366666667,30,1.28584136015827
1598030220,31001001060,5.53333333333333,5.22038437543277,650868.796759062,5901817.86722606,5.26101083750748,53.2441619522054,1598030234.5,1.28584136015827,86.6335531616091,0.122290022222222,0.435661022222222,30,1.29143143345176
1598030250,31001001060,5.26666666666667,5.05164747504768,650903.034530241,5901834.63741288,5.26153274848508,53.2443078509717,1598030264.5,1.27081082662134,91.1473027414318,0.1148366,0.406780888888889,30,1.29143143345176
1598030280,31001001060,5.4,5.0051546067267,650940.132471868,5901851.96946053,5.262095264858,53.2444497311129,1598030294.5,1.36490013824933,125.569272726014,0.112405533333333,0.4012024,30,1.28584136015827
1598030310,31001001060,5.46666666666667,5.09891945762341,650977.38202507,5901867.28233672,5.26266045008849,53.2445761595836,1598030324.5,1.34247424589039,95.5955862827172,0.113890133333333,0.426777622222222,30,1.27081082662134
1598030340,31001001060,5.33333333333333,5.11000699685918,651002.426230548,5901877.82351108,5.26304497295852,53.2446695809568,1598030354.5,0.905740081032151,115.61759873975,0.115794033333333,0.463263522222222,30,1.28515077625541
1598030370,31001001060,5.32142857142857,4.6809752821971,651030.312393505,5901892.68604097,5.26346479621969,53.2447876304062,1598030385.07143,1.03363082407122,129.566573686992,0.106431147959184,0.380646224489796,28,1.28515077625541
1598030400,31001001060,5.13333333333333,4.78172219035734,651063.452197475,5901910.91012529,5.2639694346662,53.2449425171359,1598030414.5,1.28515077625541,126.97139806264,0.0979142333333333,0.382189911111111,30,1.28515077625541
