x,y,time,TAG,res_time
649726.699734209,5901810.01967327,1598267736,31001001060,5.45504392385483
649726.699734209,5901810.01967327,1598267737,31001001060,5.45504392385483
649720.436671879,5901812.85010662,1598267738,31001001060,5.47708647648493
649716.723916675,5901812.85010662,1598267739,31001001060,5.48104478518168
649714.414106769,5901813.25453282,1598267740,31001001060,5.48470626274745
649710.779604044,5901817.60693802,1598267741,31001001060,5.54140788316727
649708.441079544,5901819.75645279,1598267742,31001001060,5.554851603508
649698.614478323,5901821.95467956,1598267743,31001001060,5.58506141106288
649687.444907981,5901829.88007998,1598267744,31001001060,5.64079352617264
649673.257466336,5901838.97777099,1598267749,31001001060,5.75082666079203
649662.316313594,5901840.18866161,1598267750,31001001060,5.76250868240992
649661.942031201,5901843.84687649,1598267751,31001001060,5.79375554720561
649659.815548418,5901844.05313297,1598267752,31001001060,5.79275985161463
649658.256300062,5901845.56844263,1598267753,31001001060,5.81795047918955
649656.206226584,5901851.72306525,1598267754,31001001060,5.87785811424255
649651.22784747,5901851.73746393,1598267755,31001001060,5.86518284082413
649646.177073782,5901852.73633814,1598267756,31001001060,5.86711896657944
649644.62663149,5901852.8589072,1598267757,31001001060,5.88355308771133
649638.698558566,5901852.8589072,1598267758,31001001060,5.88932464917501
649637.655469788,5901852.8589072,1598267759,31001001060,5.88940209945043
649636.089563578,5901856.71016598,1598267760,31001001060,5.90976138909658
649635.864296144,5901856.88428688,1598267761,31001001060,5.91060465574265
649626.922552044,5901860.16613218,1598267762,31001001060,5.92663164536158
649622.224571189,5901860.22790233,1598267763,31001001060,5.93154519399007
649620.649322001,5901862.42646832,1598267764,31001001060,5.94833960533142
649616.297741479,5901863.79247952,1598267765,31001001060,5.94176579316457
649607.648552789,5901865.67104098,1598267766,31001001060,5.92122954527537
649606.58051974,5901866.0397612,1598267767,31001001060,5.91801918745041
649601.526849046,5901867.3281353,1598267768,31001001060,5.90157348314921
649597.052547136,5901869.60539069,1598267769,31001001060,5.89045564333598
649592.473759029,5901871.33101112,1598267770,31001001060,5.917586962382
649588.517744471,5901874.98370094,1598267771,31001001060,5.91034877697627
649578.047163416,5901877.08294168,1598267772,31001001060,5.91932323773702
649573.377421915,5901883.94774354,1598267773,31001001060,5.93674482901891
649568.490858181,5901886.86723822,1598267774,31001001060,5.91772443056107
649563.789355783,5901889.51695927,1598267775,31001001060,5.90969950358073
649561.101765088,5901890.01030747,1598267776,31001001060,5.88634194135666
649556.016913811,5901892.8940845,1598267777,31001001060,5.87746014197667
649546.874224764,5901899.68196055,1598267778,31001001060,5.89072423378627
649541.43647673,5901899.76053842,1598267779,31001001060,5.88150939146678
649541.333036409,5901902.51189931,1598267780,31001001060,5.90674547751745
649538.350715611,5901902.58321918,1598267781,31001001060,5.89558666149775
649536.142844516,5901903.02402993,1598267782,31001001060,5.8781773408254
649530.742978153,5901903.66164523,1598267783,31001001060,5.84131103356679
649527.860764317,5901911.21322678,1598267784,31001001060,5.85498821735382
649521.386129312,5901913.0427033,1598267785,31001001060,5.76686085065206
649516.660257755,5901915.94065103,1598267786,31001001060,5.72903947432836
649516.636855613,5901918.28281226,1598267787,31001001060,5.74146158695221
649514.501402723,5901918.28281226,1598267788,31001001060,5.71985454161962
649510.033019937,5901925.89136686,1598267789,31001001060,5.71300317446391
649510.033019937,5901925.89136686,1598267790,31001001060,5.71300317446391
