X,Y,Species,Cluster_ID
256306,767771,Ficus microcarpa,5
256303,767760,Washingtonia,23
256305,767732,Melia azedarach,33
256350,767736,Melia azedarach,34
256384,767719,Palm,21
256468,767792,Melia azedarach,35
256453,767795,Ficus carica,42
256406,767788,Mulberry,15
256369,767703,Palm,21
256372,767703,Ficus benjamina,11
256372,767699,Washingtonia,41
256389,767690,Palm,21
256408,767692,Palm,21
256411,767686,Palm,21
256381,767686,Palm,21
256377,767692,Washingtonia,41
255726,768028,Ficus carica,43
255849,768104,Mulberry,16
255858,768104,Mulberry,16
255903,768115,Mulberry,17
256391,767621,Ficus carica,32
256394,767620,Ficus carica,32
256394,767633,Ficus carica,32
256393,767636,Ficus carica,32
256383,767670,Ficus carica,32
256416,767664,Persimmon,1
256436,767675,Ficus carica,44
256436,767666,Ficus carica,44
256314,767778,Ficus carica,45
256309,767789,Melia azedarach,36
256298,767804,Palm,22
256252,767791,Washingtonia,22
256291,767819,Washingtonia,42
256359,767847,Melia azedarach,37
256364,767851,Melia azedarach,37
256381,767843,Ficus microcarpa,6
256390,767830,Ficus carica,46
256368,767832,Palm,23
256421,767838,Ficus microcarpa,7
256406,767847,Loquat,22
256403,767840,Guava,12
256421,767851,Washingtonia,43
256423,767866,Loquat,22
256430,767897,Palm,24
256437,767906,Melia azedarach,38
256437,767908,Melia azedarach,38
256434,767910,Melia azedarach,38
256412,767915,Melia azedarach,38
256415,767915,Ficus carica,47
256404,767895,Mulberry,18
256396,767888,Ficus carica,47
256421,767864,Melia azedarach,39
256432,767867,Washingtonia,43
256442,767864,Loquat,22
256445,767864,Washingtonia,43
256457,767847,Ficus carica,48
256451,767827,Mulberry,19
256457,767805,Mulberry,19
256526,767838,Melia azedarach,40
256537,767829,Melia azedarach,40
256561,767874,Ficus carica,49
256545,767798,Ficus carica,50
256597,767859,Ficus carica,49
256597,767842,Ficus carica,49
256600,767829,Ficus carica,49
256607,767803,Palm,25
256607,767778,Washingtonia,44
256613,767770,Washingtonia,44
256624,767759,Ficus benjamina,12
256621,767741,Ficus carica,51
256607,767761,Palm,25
256596,767779,Palm,25
256587,767798,Ficus benjamina,13
256216,767865,Date palm,11
256248,767874,Melia azedarach,41
256236,767874,Ficus carica,52
256239,767874,Melia azedarach,41
256180,767929,Washingtonia,45
256183,767929,Carob,8
256162,767979,Melia azedarach,42
256155,767940,Washingtonia,45
256198,767961,Loquat,23
256200,767981,Melia azedarach,42
256164,768001,Mulberry,20
256157,768009,Washingtonia,46
256120,768005,Ficus carica,20
256134,768003,Banana,1
256168,768016,Guava,13
256192,768050,Ficus carica,53
256226,768053,Melia azedarach,10
256223,768048,Washingtonia,47
256240,767996,Washingtonia,48
256242,767996,Washingtonia,48
256243,767987,Melia azedarach,43
256256,767985,Melia azedarach,43
256289,767950,Ficus carica,54
256298,767978,Melia azedarach,44
256327,767993,Ficus carica,55
256338,767965,Guava,14
256341,767971,Ficus carica,55
256343,767995,Ficus carica,55
256316,767976,Persimmon,2
256334,767956,Melia azedarach,37
256384,767958,Melia azedarach,37
256380,767984,Loquat,24
256383,767984,Mulberry,21
256368,767984,Loquat,24
256388,767987,Mulberry,21
256391,767987,Ficus carica,56
256390,767986,Ficus carica,56
256399,767969,Melia azedarach,37
256401,767962,Melia azedarach,37
256385,767945,Ficus carica,57
256365,767961,Carob,9
256368,767961,Loquat,24
256351,767971,Date palm,12
256348,767945,Melia azedarach,37
256335,767899,Washingtonia,49
256346,767895,Ficus benjamina,14
256351,767895,Washingtonia,49
256363,767912,Melia azedarach,37
256362,767908,Melia azedarach,37
256364,767876,Melia azedarach,37
258013,768981,Melia azedarach,45
257902,769197,Carob,10
257903,769189,Carob,10
257894,769191,Carob,10
257885,769197,Carob,10
257882,769204,Carob,10
257939,769162,Carob,11
257782,769265,Carob,12
257780,769268,Carob,12
257783,769274,Carob,12
257782,769274,Carob,12
257786,769279,Carob,12
257788,769287,Carob,12
257789,769290,Carob,12
257789,769296,Carob,12
257791,769296,Carob,12
257789,769298,Carob,12
257789,769302,Carob,12
257789,769307,Carob,12
257789,769313,Carob,12
257791,769316,Carob,12
257794,769315,Carob,12
257797,769322,Carob,12
257797,769324,Carob,12
257799,769326,Carob,12
257797,769326,Carob,12
257797,769327,Carob,12
257797,769333,Carob,12
257799,769333,Carob,12
257797,769335,Carob,12
257797,769337,Melia azedarach,46
257799,769339,Carob,12
257800,769339,Carob,12
257802,769340,Carob,12
257800,769344,Carob,12
257805,769350,Carob,12
257802,769352,Carob,12
257802,769355,Carob,12
257802,769357,Carob,12
257803,769357,Carob,12
257805,769361,Carob,12
257805,769363,Carob,12
257805,769368,Carob,12
257806,769376,Carob,12
257808,769383,Carob,12
257808,769385,Melia azedarach,47
257820,769381,Carob,12
257816,769366,Carob,12
257816,769363,Carob,12
257816,769359,Carob,12
257814,769348,Carob,12
257837,769385,Carob,12
257848,769396,Melia azedarach,48
257853,769383,Carob,12
257861,769405,Ziziphus spina-christi,2
257881,769376,Carob,12
257911,769372,Carob,12
257942,769361,Mulberry,22
257992,769336,Loquat,25
257993,769328,Melia azedarach,49
257830,769217,Carob,12
257827,769226,Carob,12
257821,769228,Carob,12
257810,769226,Carob,12
257808,769220,Carob,12
257801,769218,Carob,12
257801,769222,Carob,12
257802,769228,Carob,12
257796,769229,Carob,12
258052,769042,Melia azedarach,50
258049,769047,Melia azedarach,50
258102,769022,Melia azedarach,50
258108,769033,Melia azedarach,50
258091,769053,Melia azedarach,50
258089,769057,Melia azedarach,50
258083,769061,Melia azedarach,50
258072,769053,Ficus carica,58
258072,769072,Melia azedarach,50
258060,769060,Melia azedarach,50
258055,769072,Melia azedarach,50
258058,769072,Ficus carica,58
258043,769070,Melia azedarach,50
257994,769121,Melia azedarach,51
258222,769048,Carob,13
258012,769225,Carob,14
257887,769428,Melia azedarach,52
257909,769400,Carob,12
257909,769407,Carob,12
257965,769372,Ficus carica,59
258001,769398,Carob,15
258005,769400,Carob,15
258005,769399,Carob,15
258020,769362,Loquat,25
258049,769367,Carob,16
258059,769369,Carob,16
257966,769509,Mulberry,23
258041,769587,Carob,17
258042,769596,Melia azedarach,53
258044,769619,Carob,17
258042,769626,Carob,17
258045,769626,Melia azedarach,53
257998,769611,Carob,17
257995,769609,Carob,17
257987,769630,Melia azedarach,54
257997,769642,Ficus carica,60
258006,769655,Melia azedarach,54
258008,769626,Carob,17
258011,769635,Carob,17
258015,769639,Carob,17
258017,769650,Carob,17
258113,769665,Ficus carica,61
258113,769660,Melia azedarach,55
258115,769654,Ficus carica,61
258109,769612,Loquat,26
258072,769619,Peach,1
258065,769604,Loquat,27
258073,769591,Jujube,3
258072,769587,Guava,15
258069,769584,Ficus carica,62
258067,769578,Mulberry,24
258058,769556,Melia azedarach,56
258127,769405,Date palm,13
258131,769656,Mulberry,25
258140,769608,Surinam Cherry,5
258142,769606,Jujube,4
258151,769619,Annona,5
258172,769481,Ficus carica,63
258178,769473,Ficus carica,63
258187,769518,Melia azedarach,57
258204,769527,Melia azedarach,57
258203,769556,Loquat,28
258185,769586,Avocado,7
258187,769604,Melia azedarach,58
258185,769625,Annona,5
258177,769658,Annona,5
258154,769687,Carob,18
258202,769693,Loquat,29
258207,769693,Surinam Cherry,6
258211,769702,Ficus carica,64
258249,769666,Ficus carica,65
258252,769651,Ficus carica,65
258255,769651,Loquat,30
258249,769645,Washingtonia,50
258244,769643,Guava,16
258241,769629,Mango,12
258260,769595,Loquat,31
258276,769596,Guava,17
258265,769579,Carob,19
258285,769553,Loquat,32
258304,769561,Loquat,32
258310,769546,Guava,18
258231,769414,Loquat,33
258248,769424,Loquat,33
258247,769429,Loquat,33
258340,769563,Loquat,32
258315,769585,Ficus benjamina,15
258357,769611,Ficus,5
258335,769651,Guava,19
258317,769657,Palm,26
258279,769612,Loquat,31
258290,769597,Mango,13
258297,769675,Ficus carica,66
258300,769675,Loquat,34
258327,769679,Loquat,34
258330,769679,Washingtonia,51
258214,769717,Melia azedarach,59
258425,769631,Loquat,35
258401,769526,Ficus carica,67
258360,769489,Carob,20
258413,769444,Washingtonia,52
258528,769456,Carob,21
258427,769430,Ficus sycomorus,1
